
Nov21 13-58-46: Silhouette Score (subsample): 16_0_4_0_0_4_0_0_0_0_13_0 0.2471, sample size 2674, K_e 11
Nov21 13-58-47: Silhouette Score (subsample): 6_0_3_0_0_2_0_0_0_0_0_1 0.2443, sample size 2922, K_e 13
Nov21 13-58-48: Silhouette Score (subsample): 6_0_3_0_0_3_0_0_0_0_2_0 0.2037, sample size 35129, K_e 142
Nov21 13-58-48: Silhouette Score (subsample): 6_0_3_0_0_3_0_2_0_0_0_0 0.0000, sample size 200, K_e 1
Nov21 13-58-55: Silhouette Score (subsample): 6_0_3_1_1_2_6_2_1_1_10_1 0.1856, sample size 181858, K_e 735
Nov21 13-59-01: Silhouette Score (subsample): 6_0_3_1_1_2_6_2_2_1_10_1 0.2021, sample size 174273, K_e 701
Nov21 13-59-07: Silhouette Score (subsample): 6_0_3_1_1_2_6_2_3_1_10_1 0.2133, sample size 139645, K_e 563
Nov21 13-59-10: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_1_0_10_0 0.1693, sample size 83201, K_e 334
Nov21 13-59-12: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_2_0_10_0 0.1881, sample size 67672, K_e 272
Nov21 13-59-13: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_3_0_10_0 0.1775, sample size 46524, K_e 187
Nov21 13-59-16: Silhouette Score (subsample): 6_0_4_0_0_1_0_0_0_0_0_3 0.2885, sample size 82046, K_e 327
Nov21 13-59-19: Silhouette Score (subsample): 6_0_4_0_0_2_0_0_0_0_0_2 0.2032, sample size 80385, K_e 324
Nov21 13-59-19: Silhouette Score (subsample): 6_0_4_0_0_3_0_1_0_0_6_1 0.3440, sample size 943, K_e 3
Nov21 13-59-20: Silhouette Score (subsample): 7_0_3_0_0_2_0_0_0_0_2_1 0.2067, sample size 27392, K_e 112
Nov21 13-59-20: Silhouette Score (subsample): 7_0_3_0_0_2_0_1_0_0_1_1 0.2096, sample size 10400, K_e 40
Nov21 13-59-21: Silhouette Score (subsample): 8_0_3_0_0_1_0_0_0_0_13_0 0.3055, sample size 18556, K_e 75
Nov21 13-59-23: Silhouette Score (subsample): 8_0_3_0_0_1_0_0_0_0_2_0 0.2092, sample size 67144, K_e 274
Nov21 13-59-24: Silhouette Score (subsample): 9_0_4_0_0_1_0_1_0_0_12_0 0.2676, sample size 19638, K_e 77
Nov21 13-59-24: Silhouette Score (subsample): 16_0_4_0_0_4_0_1_0_0_0_0 0.3289, sample size 1760, K_e 7
Nov21 13-59-25: Silhouette Score (subsample): 6_0_3_1_1_3_5_2_2_0_10_0 0.1835, sample size 13492, K_e 55
Nov21 13-59-26: Silhouette Score (subsample): 6_0_3_1_1_3_5_3_2_0_10_0 0.1742, sample size 22367, K_e 91
Nov21 13-59-26: Silhouette Score (subsample): 6_0_3_1_1_3_6_3_1_0_10_0 0.1713, sample size 26078, K_e 106
Nov21 13-59-27: Silhouette Score (subsample): 6_0_3_1_1_3_6_3_2_0_10_0 0.1827, sample size 26198, K_e 105
Nov21 13-59-28: Silhouette Score (subsample): 7_0_3_0_0_1_0_1_0_0_1_2 0.2752, sample size 6489, K_e 26
Nov21 13-59-28: Silhouette Score (subsample): 7_0_3_1_1_2_5_2_2_0_10_0 0.2135, sample size 12793, K_e 53
Nov21 13-59-29: Silhouette Score (subsample): 7_0_3_1_1_2_6_2_1_0_10_0 0.2048, sample size 21463, K_e 86
Nov21 13-59-30: Silhouette Score (subsample): 7_0_3_1_1_3_5_3_2_0_10_0 0.1979, sample size 3209, K_e 13
Nov21 13-59-30: Silhouette Score (subsample): 8_0_3_0_0_1_0_0_0_0_0_0 0.3711, sample size 9011, K_e 36
Nov21 13-59-31: Silhouette Score (subsample): 6_0_3_0_1_3_7_1_1_0_2_0 0.0000, sample size 189, K_e 1
Nov21 13-59-31: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_1_0_6_0 0.1691, sample size 8763, K_e 37
Nov21 13-59-32: Silhouette Score (subsample): 7_0_3_0_1_3_7_1_1_0_2_0 0.0000, sample size 299, K_e 1
Nov21 13-59-32: Silhouette Score (subsample): 17_0_4_0_0_0_0_0_0_0_12_1 0.0000, sample size 1832, K_e 8
Nov21 13-59-33: Silhouette Score (subsample): 17_0_4_0_0_1_0_1_0_0_12_0 0.2509, sample size 21824, K_e 88
Nov21 13-59-34: Silhouette Score (subsample): 6_0_3_0_0_3_0_1_0_0_2_0 0.1975, sample size 19609, K_e 80
Nov21 13-59-36: Silhouette Score (subsample): 6_0_3_1_1_2_6_2_4_1_10_1 0.2312, sample size 62236, K_e 249
Nov21 13-59-36: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_2_0_6_0 0.2084, sample size 6507, K_e 27
Nov21 13-59-37: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_3_0_6_0 0.2505, sample size 4374, K_e 18
Nov21 13-59-37: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_3_0_9_0 0.3305, sample size 1307, K_e 5
Nov21 13-59-38: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_4_0_10_0 0.2125, sample size 18562, K_e 73
Nov21 13-59-38: Silhouette Score (subsample): 6_0_4_0_1_2_7_0_1_0_0_2 0.3233, sample size 1895, K_e 7
Nov21 13-59-39: Silhouette Score (subsample): 7_0_3_0_0_2_0_1_0_0_2_1 0.2117, sample size 14174, K_e 57
Nov21 13-59-39: Silhouette Score (subsample): 7_0_4_0_1_3_7_0_1_0_1_0 0.0000, sample size 195, K_e 1
Nov21 13-59-40: Silhouette Score (subsample): 8_0_3_0_0_1_0_1_0_0_9_1 0.2569, sample size 8218, K_e 31
Nov21 13-59-41: Silhouette Score (subsample): 6_0_3_1_1_2_5_2_1_1_10_1 0.1943, sample size 11790, K_e 49
Nov21 13-59-41: Silhouette Score (subsample): 6_0_3_1_1_3_5_2_1_0_10_0 0.1660, sample size 21250, K_e 86
Nov21 13-59-42: Silhouette Score (subsample): 6_0_3_1_1_3_5_3_1_0_10_0 0.1618, sample size 26919, K_e 108
Nov21 13-59-43: Silhouette Score (subsample): 6_0_4_0_0_1_0_1_0_0_0_3 0.2147, sample size 25255, K_e 103
Nov21 13-59-44: Silhouette Score (subsample): 6_0_4_0_0_2_0_1_0_0_0_2 0.1889, sample size 34558, K_e 139
Nov21 13-59-44: Silhouette Score (subsample): 6_0_4_0_0_4_0_0_0_0_0_0 0.2453, sample size 4219, K_e 17
Nov21 13-59-45: Silhouette Score (subsample): 6_0_4_0_0_4_0_1_0_0_0_0 0.2971, sample size 8421, K_e 33
Nov21 13-59-45: Silhouette Score (subsample): 7_0_3_1_1_2_5_2_1_0_10_0 0.1842, sample size 13793, K_e 55
Nov21 13-59-46: Silhouette Score (subsample): 7_0_3_1_1_3_5_3_1_0_10_0 0.2078, sample size 3292, K_e 13
Nov21 13-59-46: Silhouette Score (subsample): 7_0_4_0_0_3_0_0_0_0_1_0 0.2809, sample size 3934, K_e 16
Nov21 13-59-47: Silhouette Score (subsample): 9_0_4_0_0_1_0_0_0_0_12_0 0.4028, sample size 32946, K_e 132
Nov21 13-59-48: Silhouette Score (subsample): 16_0_3_1_1_2_5_2_3_0_10_0 0.2874, sample size 1961, K_e 8
Nov21 13-59-48: Silhouette Score (subsample): 16_0_4_0_0_4_0_1_0_0_13_0 0.2794, sample size 6191, K_e 25
Nov21 13-59-49: Silhouette Score (subsample): 6_0_3_0_0_2_0_0_0_0_6_1 0.3883, sample size 2049, K_e 8
Nov21 13-59-49: Silhouette Score (subsample): 6_0_3_0_0_2_0_1_0_0_0_1 0.2400, sample size 3663, K_e 15
Nov21 13-59-50: Silhouette Score (subsample): 6_0_3_1_1_2_5_2_3_1_10_1 0.2196, sample size 9933, K_e 41
Nov21 13-59-50: Silhouette Score (subsample): 6_0_3_1_1_3_5_2_3_0_10_0 0.2004, sample size 7640, K_e 31
Nov21 13-59-51: Silhouette Score (subsample): 6_0_4_0_0_2_0_2_0_0_0_2 0.2076, sample size 4782, K_e 19
Nov21 13-59-52: Silhouette Score (subsample): 7_0_3_1_1_3_5_2_1_0_10_0 0.2088, sample size 6996, K_e 28
Nov21 13-59-52: Silhouette Score (subsample): 6_0_3_0_0_3_0_0_0_0_3_0 0.2976, sample size 6783, K_e 26
Nov21 13-59-53: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_1_0_8_0 0.2160, sample size 21452, K_e 89
Nov21 13-59-54: Silhouette Score (subsample): 6_0_3_1_1_3_6_3_3_0_10_0 0.1948, sample size 15870, K_e 64
Nov21 13-59-54: Silhouette Score (subsample): 6_0_4_0_0_1_0_0_0_0_7_3 0.3783, sample size 1595, K_e 7
Nov21 13-59-55: Silhouette Score (subsample): 6_0_4_0_0_2_0_0_0_0_6_2 0.1934, sample size 10616, K_e 42
Nov21 13-59-55: Silhouette Score (subsample): 6_0_4_0_0_2_0_1_0_0_8_2 0.3172, sample size 3294, K_e 13
Nov21 13-59-56: Silhouette Score (subsample): 7_0_3_0_0_3_0_0_0_0_2_0 0.2649, sample size 3046, K_e 11
Nov21 13-59-56: Silhouette Score (subsample): 8_0_3_0_0_1_0_0_0_0_3_0 0.3383, sample size 9185, K_e 36
Nov21 13-59-57: Silhouette Score (subsample): 8_0_3_0_0_1_0_0_0_0_3_1 0.3751, sample size 9005, K_e 35
Nov21 13-59-57: Silhouette Score (subsample): 8_0_3_0_0_2_0_0_0_0_7_0 0.2613, sample size 6261, K_e 26
Nov21 13-59-58: Silhouette Score (subsample): 8_0_3_0_0_2_0_1_0_0_8_0 0.2208, sample size 29451, K_e 123
Nov21 13-59-59: Silhouette Score (subsample): 8_0_3_1_1_2_5_2_2_0_10_0 0.2447, sample size 1823, K_e 8
Nov21 13-59-59: Silhouette Score (subsample): 16_0_4_0_0_4_0_0_0_0_0_0 0.3876, sample size 527, K_e 2
Nov21 14-00-00: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_1_0_9_0 0.2484, sample size 3627, K_e 15
Nov21 14-00-00: Silhouette Score (subsample): 6_0_3_0_1_3_6_0_2_0_2_0 0.5491, sample size 664, K_e 3
Nov21 14-00-02: Silhouette Score (subsample): 6_0_4_0_1_2_6_0_2_0_0_2 0.2310, sample size 43281, K_e 181
Nov21 14-00-02: Silhouette Score (subsample): 6_0_4_0_1_2_6_0_2_0_6_2 0.6409, sample size 410, K_e 2
Nov21 14-00-03: Silhouette Score (subsample): 7_0_3_0_1_3_6_0_2_0_2_0 0.2759, sample size 2620, K_e 12
Nov21 14-00-03: Silhouette Score (subsample): 7_0_3_0_1_3_6_1_2_0_2_0 0.4915, sample size 363, K_e 2
Nov21 14-00-04: Silhouette Score (subsample): 6_0_2_0_0_2_0_0_0_0_0_0 0.2468, sample size 3115, K_e 13
Nov21 14-00-04: Silhouette Score (subsample): 6_0_3_1_1_2_5_2_2_1_10_1 0.2163, sample size 13625, K_e 55
Nov21 14-00-05: Silhouette Score (subsample): 6_0_3_1_1_2_5_2_5_1_10_1 0.3097, sample size 834, K_e 3
Nov21 14-00-05: Silhouette Score (subsample): 6_0_3_1_1_3_5_2_5_0_10_0 0.4280, sample size 452, K_e 2
Nov21 14-00-06: Silhouette Score (subsample): 6_0_4_0_1_2_4_0_3_0_0_2 0.3459, sample size 2077, K_e 9
Nov21 14-00-07: Silhouette Score (subsample): 6_0_4_0_1_2_6_0_4_0_0_2 0.2517, sample size 14248, K_e 55
Nov21 14-00-07: Silhouette Score (subsample): 6_0_4_0_1_3_6_0_4_0_0_1 0.2904, sample size 1858, K_e 7
Nov21 14-00-08: Silhouette Score (subsample): 7_0_2_0_0_1_0_0_0_0_0_0 0.3935, sample size 5399, K_e 22
Nov21 14-00-08: Silhouette Score (subsample): 7_0_3_0_1_3_6_0_4_0_2_0 0.2950, sample size 576, K_e 2
Nov21 14-00-09: Silhouette Score (subsample): 7_0_3_1_1_2_5_2_2_0_10_1 0.2871, sample size 3889, K_e 16
Nov21 14-00-09: Silhouette Score (subsample): 7_0_3_1_1_2_5_2_5_0_10_0 0.3918, sample size 831, K_e 3
Nov21 14-00-10: Silhouette Score (subsample): 7_0_3_1_1_2_6_2_2_0_10_0 0.2116, sample size 20585, K_e 85
Nov21 14-00-10: Silhouette Score (subsample): 7_0_4_0_1_3_4_0_3_0_1_0 0.0000, sample size 227, K_e 1
Nov21 14-00-11: Silhouette Score (subsample): 6_0_4_0_0_4_0_0_0_0_8_0 0.5814, sample size 944, K_e 4
Nov21 14-00-12: Silhouette Score (subsample): 6_0_4_0_1_2_5_0_1_0_0_2 0.2087, sample size 10419, K_e 41
Nov21 14-00-12: Silhouette Score (subsample): 6_0_4_0_1_2_6_0_3_0_0_2 0.2109, sample size 29572, K_e 121
Nov21 14-00-13: Silhouette Score (subsample): 6_0_4_0_1_2_6_0_3_0_8_2 0.3962, sample size 3476, K_e 14
Nov21 14-00-13: Silhouette Score (subsample): 6_0_4_0_1_3_5_0_1_0_0_1 0.2141, sample size 5483, K_e 22
Nov21 14-00-14: Silhouette Score (subsample): 6_0_4_0_1_4_5_0_1_0_0_0 0.2382, sample size 1246, K_e 5
Nov21 14-00-14: Silhouette Score (subsample): 7_0_4_0_1_3_6_0_3_0_1_0 0.2965, sample size 3267, K_e 13
Nov21 14-00-15: Silhouette Score (subsample): 8_0_4_0_1_2_6_0_3_0_8_0 0.4722, sample size 1977, K_e 6
Nov21 14-00-16: Silhouette Score (subsample): 6_0_2_0_0_2_0_1_0_0_0_0 0.2779, sample size 6341, K_e 23
Nov21 14-00-16: Silhouette Score (subsample): 6_0_3_1_1_3_6_2_2_0_9_0 0.2749, sample size 2370, K_e 9
Nov21 14-00-17: Silhouette Score (subsample): 7_0_4_0_0_1_0_0_0_0_1_2 0.3815, sample size 5490, K_e 23
Nov21 14-00-17: Silhouette Score (subsample): 15_0_4_0_0_4_0_0_0_0_0_0 0.4933, sample size 571, K_e 2
Nov21 14-00-18: Silhouette Score (subsample): 6_0_3_0_1_2_6_0_1_0_0_1 0.4528, sample size 898, K_e 3
Nov21 14-00-18: Silhouette Score (subsample): 6_0_3_0_1_3_6_0_1_0_0_0 0.2445, sample size 1634, K_e 7
Nov21 14-00-19: Silhouette Score (subsample): 6_0_4_0_0_1_0_0_0_0_6_3 0.4035, sample size 2963, K_e 12
Nov21 14-00-19: Silhouette Score (subsample): 6_0_4_0_0_3_0_0_0_0_8_1 0.3058, sample size 1092, K_e 5
Nov21 14-00-20: Silhouette Score (subsample): 6_0_4_0_1_2_6_0_1_0_0_2 0.2151, sample size 36316, K_e 146
Nov21 14-00-21: Silhouette Score (subsample): 6_0_4_0_1_3_6_0_1_0_0_1 0.2296, sample size 9111, K_e 38
Nov21 14-00-21: Silhouette Score (subsample): 6_0_4_0_1_3_6_0_1_0_8_1 0.2721, sample size 1298, K_e 5
Nov21 14-00-22: Silhouette Score (subsample): 8_0_4_0_0_1_0_0_0_0_17_1 0.4328, sample size 2691, K_e 10
Nov21 14-00-23: Silhouette Score (subsample): 8_0_4_0_0_2_0_0_0_0_0_0 0.0000, sample size 361, K_e 1
Nov21 14-00-23: Silhouette Score (subsample): 8_0_4_0_0_2_0_0_0_0_8_0 0.2868, sample size 4587, K_e 19
Nov21 14-00-24: Silhouette Score (subsample): 6_0_4_0_1_2_3_0_3_0_0_2 0.3512, sample size 2798, K_e 12
Nov21 14-00-24: Silhouette Score (subsample): 6_0_4_0_1_4_6_1_1_0_0_0 0.3918, sample size 632, K_e 2
Nov21 14-00-25: Silhouette Score (subsample): 7_0_3_0_0_1_0_0_0_0_1_2 0.4118, sample size 2634, K_e 10
Nov21 14-00-25: Silhouette Score (subsample): 7_0_3_0_1_2_6_0_1_0_0_0 0.0000, sample size 340, K_e 1
Nov21 14-00-26: Silhouette Score (subsample): 7_0_4_0_0_2_0_0_0_0_1_1 0.2082, sample size 5056, K_e 21
Nov21 14-00-26: Silhouette Score (subsample): 6_0_4_0_1_3_6_0_2_0_0_1 0.2357, sample size 6910, K_e 28
Nov21 14-00-27: Silhouette Score (subsample): 6_0_4_0_1_3_6_0_2_0_8_1 0.3388, sample size 808, K_e 4
